-4.499942824233552408e+00,-4.499942824233552408e+00,-3.999949177096490782e+00,-3.999949177096489450e+00,-2.999961882822367976e+00,-3.999949177096490782e+00
-4.499942824233552408e+00,-3.499955529959429157e+00,-3.999949177096490782e+00,-4.499942824233552408e+00,-3.999949177096490782e+00,-4.999936471370612701e+00
-4.999936471370612701e+00,-3.499955529959429157e+00,-3.499955529959429157e+00,-3.499955529959429157e+00,-4.999936471370612701e+00,-4.499942824233552408e+00
-5.499930118507673882e+00,-4.999936471370612701e+00,-4.499942824233552408e+00,-4.999936471370612701e+00,-5.499930118507673882e+00,-5.499930118507673882e+00
-5.499930118507673882e+00,-5.499930118507673882e+00,-4.999936471370612701e+00,-5.499930118507673882e+00,-5.999923765644735951e+00,-4.499942824233552408e+00
-5.999923765644735951e+00,-4.499942824233552408e+00,-5.499930118507673882e+00,-4.999936471370612701e+00,-6.499917412781797132e+00,-4.699940283088376525e+00
-5.999923765644735951e+00,-4.416610549710708433e+00,-4.999936471370612701e+00,-4.583275098756395494e+00,-7.499904707055917719e+00,-4.699940283088376525e+00
-6.499917412781797132e+00,-4.416610549710708433e+00,-4.499942824233552408e+00,-4.583275098756395494e+00,-6.499917412781797132e+00,-4.699940283088376525e+00
-7.499904707055920383e+00,-4.416610549710708433e+00,-4.499942824233552408e+00,-4.583275098756395494e+00,-5.499930118507674770e+00,-4.699940283088376525e+00
-5.999923765644735951e+00,-4.416610549710708433e+00,-4.499942824233552408e+00,-4.583275098756395494e+00,-5.499930118507674770e+00,-4.699940283088376525e+00
