SubjectID,Trial,SpatialCond,isTargetLeft,isLowLeft,TargetNum,TargetTime,ResponseTime
p003,ild-fmri-2,ILD10,True,True,2,        3.3,21.7,4.17,22.427
p003,ild-fmri-2,ITD500,True,False,3,        5.6,10.2,19.65,6.346
p003,ild-fmri-2,ILD10,True,False,1,        19.4,20.375
p003,ild-fmri-2,ILD10,False,False,2,        12.5,21.7,22.368
p003,ild-fmri-2,ITD500,False,False,1,        17.099999999999998,
p003,ild-fmri-2,ITD500,True,True,3,        3.3,12.5,21.7,13.136,22.445
p003,ild-fmri-2,ILD10,False,True,3,        1.25,12.5,19.65,2.408,13.321,20.42
p003,ild-fmri-2,ITD500,False,True,2,        10.45,17.099999999999998,11.158
p003,ild-fmri-2,ILD10,True,True,2,        5.85,10.2,6.787,11.106
p003,ild-fmri-2,ILD10,True,False,3,        7.8999999999999995,12.75,21.7,8.967,13.797,22.564
p003,ild-fmri-2,ITD500,False,True,1,        21.7,22.288
p003,ild-fmri-2,ILD10,False,False,2,        8.149999999999999,10.45,9.088,11.579
p003,ild-fmri-2,ITD500,False,False,3,        1.25,5.85,17.349999999999998,2.297,6.651,18.286
p003,ild-fmri-2,ILD10,False,True,1,        10.45,11.154
p003,ild-fmri-2,ITD500,True,True,3,        7.8999999999999995,14.799999999999999,21.95,8.566,15.724
p003,ild-fmri-2,ITD500,True,False,2,        15.049999999999999,21.7,2.157,15.913,22.397
p003,ild-fmri-2,ITD500,False,True,3,        1.25,5.85,14.799999999999999,2.202,6.574,15.516
p003,ild-fmri-2,ILD10,True,True,3,        1.25,7.8999999999999995,12.5,2.328,9.079
p003,ild-fmri-2,ITD500,True,False,1,        21.7,22.467
p003,ild-fmri-2,ILD10,False,True,1,        14.799999999999999,
p003,ild-fmri-2,ILD10,True,False,1,        17.349999999999998,17.951
p003,ild-fmri-2,ITD500,True,True,2,        10.45,17.349999999999998,11.126,18.426
