SubjectID,Trial,SpatialCond,isTargetLeft,isLowLeft,TargetNum,TargetTime,ResponseTime
p002,ild-fmri-2,ILD10,False,False,1,        17.349999999999998,11.137,18.387
p002,ild-fmri-2,ILD10,False,True,1,        14.799999999999999,
p002,ild-fmri-2,ITD500,True,True,1,        5.85,6.862
p002,ild-fmri-2,ILD10,False,False,2,        19.65,21.7,10.771,20.142,22.872
p002,ild-fmri-2,ITD500,True,True,2,        10.45,12.5,6.718,11.089,13.108,20.475
p002,ild-fmri-2,ITD500,True,False,2,        7.8999999999999995,10.45,9.062,11.431,13.292
p002,ild-fmri-2,ILD10,False,True,1,        1.25,1.856
p002,ild-fmri-2,ITD500,False,False,3,        8.149999999999999,12.5,21.7,8.804,13.194
p002,ild-fmri-2,ILD10,False,True,2,        1.0,12.75,1.807,13.4
p002,ild-fmri-2,ILD10,True,True,3,        3.3,15.049999999999999,21.95,3.986,16.276,22.556
p002,ild-fmri-2,ILD10,False,True,1,        10.2,10.75
p002,ild-fmri-2,ITD500,False,True,2,        7.8999999999999995,10.45,8.884,11.043
p002,ild-fmri-2,ILD10,True,False,2,        15.049999999999999,17.349999999999998,17.975
p002,ild-fmri-2,ILD10,True,True,3,        10.2,15.049999999999999,17.099999999999998,10.88,15.691,17.781
p002,ild-fmri-2,ILD10,True,True,3,        12.5,17.099999999999998,21.7,8.897,13.249,18.32,22.438
p002,ild-fmri-2,ITD500,False,True,2,        15.049999999999999,21.7,8.983,15.703,22.508
p002,ild-fmri-2,ITD500,True,True,1,        14.799999999999999,8.646,15.589
p002,ild-fmri-2,ITD500,True,True,2,        1.0,19.65,1.887,13.208,20.218
p002,ild-fmri-2,ILD10,True,True,2,        10.45,19.65,11.047,20.512
p002,ild-fmri-2,ITD500,False,True,3,        5.6,7.8999999999999995,10.2,6.337,8.686,11.244
p002,ild-fmri-2,ITD500,False,False,2,        5.85,19.65,6.522,11.364,20.218
